,datetime,price
494,2022-01-14-10:20,133.86
495,2022-01-14-10:15,134.01
496,2022-01-14-10:10,133.8
497,2022-01-14-10:05,133.9
498,2022-01-14-10:00,133.71
499,2022-01-14-09:55,133.52
500,2022-01-14-09:50,133.71
501,2022-01-14-09:45,134.04
502,2022-01-14-09:40,133.95
503,2022-01-14-09:35,133.93
504,2022-01-14-09:30,134.2
505,2022-01-14-09:20,134.3
506,2022-01-14-09:15,133.87
507,2022-01-14-09:10,134.2
508,2022-01-14-09:05,134.01
509,2022-01-14-08:55,134.2701
510,2022-01-14-08:50,134.57
511,2022-01-14-08:45,134.25
512,2022-01-14-08:35,134.16
513,2022-01-14-08:30,134.54
514,2022-01-14-08:20,134.2
515,2022-01-14-08:05,134.68
516,2022-01-14-08:00,134.5
517,2022-01-14-07:50,134.13
518,2022-01-14-07:15,134.55
519,2022-01-14-06:50,134.76
520,2022-01-14-06:35,134.54
521,2022-01-13-19:00,134.6
522,2022-01-13-18:40,134.87
523,2022-01-13-18:20,134.87
524,2022-01-13-18:15,134.72
525,2022-01-13-18:10,134.65
526,2022-01-13-17:40,134.7
527,2022-01-13-17:35,134.7
528,2022-01-13-17:00,134.87
529,2022-01-13-16:55,135.0
530,2022-01-13-16:50,134.74
531,2022-01-13-16:45,134.75
532,2022-01-13-16:40,134.6
533,2022-01-13-16:05,134.76
534,2022-01-13-16:00,134.77
535,2022-01-13-15:55,134.52
536,2022-01-13-15:50,134.57
537,2022-01-13-15:45,134.76
538,2022-01-13-15:40,134.68
539,2022-01-13-15:35,134.975
540,2022-01-13-15:30,134.81
541,2022-01-13-15:25,134.88
542,2022-01-13-15:20,134.94
543,2022-01-13-15:15,134.93
544,2022-01-13-15:10,135.02
545,2022-01-13-15:05,135.1
546,2022-01-13-15:00,135.39
547,2022-01-13-14:55,135.25
548,2022-01-13-14:50,135.22
549,2022-01-13-14:45,135.2497
550,2022-01-13-14:40,135.17
551,2022-01-13-14:35,135.48
552,2022-01-13-14:30,135.48
553,2022-01-13-14:25,135.315
554,2022-01-13-14:20,135.21
555,2022-01-13-14:15,135.38
556,2022-01-13-14:10,135.26
557,2022-01-13-14:05,135.31
558,2022-01-13-14:00,135.45
559,2022-01-13-13:55,135.32
560,2022-01-13-13:50,135.27
561,2022-01-13-13:45,135.08
562,2022-01-13-13:40,135.03
563,2022-01-13-13:35,135.04
564,2022-01-13-13:30,134.94
565,2022-01-13-13:25,135.02
566,2022-01-13-13:20,134.97
567,2022-01-13-13:15,134.9198
568,2022-01-13-13:10,134.89
569,2022-01-13-13:05,134.7756
570,2022-01-13-13:00,134.605
571,2022-01-13-12:55,134.71
572,2022-01-13-12:50,134.82
573,2022-01-13-12:45,134.95
574,2022-01-13-12:40,135.08
575,2022-01-13-12:35,134.995
576,2022-01-13-12:30,134.69
577,2022-01-13-12:25,134.63
578,2022-01-13-12:20,134.69
579,2022-01-13-12:15,135.025
580,2022-01-13-12:10,135.24
581,2022-01-13-12:05,135.3142
582,2022-01-13-12:00,135.52
583,2022-01-13-11:55,135.205
584,2022-01-13-11:50,135.355
585,2022-01-13-11:45,135.26
586,2022-01-13-11:40,135.37
587,2022-01-13-11:35,135.435
588,2022-01-13-11:30,135.19
589,2022-01-13-11:25,135.3501
590,2022-01-13-11:20,135.568
591,2022-01-13-11:15,135.84
592,2022-01-13-11:10,135.64
593,2022-01-13-11:05,135.61
594,2022-01-13-11:00,135.18
595,2022-01-13-10:55,135.14
596,2022-01-13-10:50,135.2
597,2022-01-13-10:45,135.41
598,2022-01-13-10:40,135.16
599,2022-01-13-10:35,135.25
600,2022-01-13-10:30,134.67
601,2022-01-13-10:25,134.49
602,2022-01-13-10:20,134.175
603,2022-01-13-10:15,134.16
604,2022-01-13-10:10,134.5659
605,2022-01-13-10:05,134.685
606,2022-01-13-10:00,134.45
607,2022-01-13-09:55,134.43
608,2022-01-13-09:50,134.62
609,2022-01-13-09:45,134.715
610,2022-01-13-09:40,134.98
611,2022-01-13-09:35,134.59
612,2022-01-13-09:25,133.377
613,2022-01-13-09:20,133.5
614,2022-01-13-09:15,133.5
615,2022-01-13-09:10,133.84
616,2022-01-13-09:00,133.45
617,2022-01-13-08:50,133.55
618,2022-01-13-07:05,133.44
619,2022-01-13-06:25,133.66
620,2022-01-12-20:00,133.4
621,2022-01-12-17:50,133.55
622,2022-01-12-17:20,133.98
623,2022-01-12-16:55,133.86
624,2022-01-12-16:50,133.59
625,2022-01-12-16:30,133.55
626,2022-01-12-16:25,133.86
627,2022-01-12-16:05,133.59
628,2022-01-12-16:00,133.61
629,2022-01-12-15:55,133.59
630,2022-01-12-15:50,133.45
631,2022-01-12-15:45,133.54
632,2022-01-12-15:40,133.36
633,2022-01-12-15:35,133.227
634,2022-01-12-15:30,133.28
635,2022-01-12-15:25,133.15
636,2022-01-12-15:20,133.265
637,2022-01-12-15:15,133.1562
638,2022-01-12-15:10,132.915
639,2022-01-12-15:05,132.81
640,2022-01-12-15:00,132.81
641,2022-01-12-14:55,132.9
642,2022-01-12-14:50,132.91
643,2022-01-12-14:45,133.04
644,2022-01-12-14:40,133.1068
645,2022-01-12-14:35,132.975
646,2022-01-12-14:30,133.1642
647,2022-01-12-14:25,133.1501
648,2022-01-12-14:20,133.16
649,2022-01-12-14:15,133.19
650,2022-01-12-14:10,133.09
651,2022-01-12-14:05,132.99
652,2022-01-12-14:00,133.085
653,2022-01-12-13:55,132.9
654,2022-01-12-13:50,133.03
655,2022-01-12-13:45,133.25
656,2022-01-12-13:40,133.2731
657,2022-01-12-13:35,133.42
658,2022-01-12-13:30,133.35
659,2022-01-12-13:25,133.3532
660,2022-01-12-13:20,133.25
661,2022-01-12-13:15,133.185
662,2022-01-12-13:10,133.17
663,2022-01-12-13:05,133.1
664,2022-01-12-13:00,133.155
665,2022-01-12-12:55,133.11
666,2022-01-12-12:50,132.97
667,2022-01-12-12:45,132.7
668,2022-01-12-12:40,132.69
669,2022-01-12-12:35,132.85
670,2022-01-12-12:30,132.84
671,2022-01-12-12:25,132.99
672,2022-01-12-12:20,132.966
673,2022-01-12-12:15,132.7
674,2022-01-12-12:10,132.58
675,2022-01-12-12:05,132.64
676,2022-01-12-12:00,132.63
677,2022-01-12-11:55,132.67
678,2022-01-12-11:50,132.5022
679,2022-01-12-11:45,132.53
