datetime,price,S_avg,S_std,signal,pnl
2022-01-18 19:15:00,169.54,170.3400961325967,0.5446164190780783,-1.0,0.060000000000002274
2022-01-18 19:20:00,169.46,170.33526043956044,0.5470138990182678,-1.0,0.07999999999998408
2022-01-18 19:25:00,169.5,170.3306961748634,0.5489922280086347,-1.0,-0.03999999999999204
2022-01-18 19:30:00,169.6,170.32672499999998,0.5501338340148646,-1.0,-0.09999999999999432
2022-01-18 19:35:00,169.6,170.32279675675676,0.55123240649268,-1.0,-0.0
2022-01-18 19:40:00,169.51,170.31842688172043,0.5529615855168217,-1.0,0.09000000000000341
2022-01-18 19:45:00,169.6,170.31458502673797,0.5539699458972649,-1.0,-0.09000000000000341
2022-01-18 19:50:00,169.56,170.31057127659574,0.5552209765070741,-1.0,0.03999999999999204
2022-01-18 19:55:00,169.45,170.306017989418,0.55726925727176,-1.0,0.11000000000001364
2022-01-18 20:00:00,169.3101,170.30077631578948,0.5604696116888002,-1.0,0.13989999999998304
2022-01-19 04:05:00,169.6,170.2960394736842,0.562576194928544,-1.0,-0.2898999999999887
2022-01-19 04:10:00,169.7,170.29361842105263,0.5641523393905681,-1.0,-0.09999999999999432
2022-01-19 04:15:00,169.5,170.29082894736842,0.5667669520541175,-1.0,0.19999999999998863
2022-01-19 04:20:00,169.64,170.2894605263158,0.568028048593702,-1.0,-0.13999999999998636
2022-01-19 04:25:00,169.51,170.2884605263158,0.5692372288592235,-1.0,0.12999999999999545
2022-01-19 04:30:00,169.35,170.2850394736842,0.5729213095636543,-1.0,0.1599999999999966
2022-01-19 04:35:00,169.46,170.28319736842107,0.5750156252245044,-1.0,-0.11000000000001364
2022-01-19 04:40:00,169.59,170.28193421052632,0.5762786692136659,-1.0,-0.12999999999999545
2022-01-19 04:45:00,169.74,170.2821447368421,0.5760722214135587,-1.0,-0.15000000000000568
2022-01-19 04:50:00,169.89,170.28103947368422,0.5766247268626118,-1.0,-0.14999999999997726
2022-01-19 04:55:00,169.94,170.2783552631579,0.5770209463601133,-1.0,-0.05000000000001137
2022-01-19 05:00:00,170.1,170.27777631578948,0.5771450629796941,-1.0,-0.1599999999999966
2022-01-19 05:05:00,170.24,170.27757853403142,0.5756307463259454,-1.0,-0.14000000000001478
2022-01-19 05:10:00,170.15,170.27642670157067,0.5756649464741567,-1.0,0.09000000000000341
2022-01-19 05:20:00,170.18,170.2741447368421,0.5764567450273501,-1.0,-0.030000000000001137
2022-01-19 05:25:00,170.27,170.27356578947368,0.5764051052267103,-1.0,-0.09000000000000341
