,datetime,price
377,2022-01-20-04:25,166.6
378,2022-01-20-04:20,166.41
379,2022-01-20-04:15,166.58
380,2022-01-20-04:10,166.4
381,2022-01-20-04:05,166.64
382,2022-01-19-20:00,165.72
383,2022-01-19-19:55,165.6
384,2022-01-19-19:50,165.7599
385,2022-01-19-19:45,165.9899
386,2022-01-19-19:40,165.95
387,2022-01-19-19:35,166.02
388,2022-01-19-19:30,166.04
389,2022-01-19-19:25,166.01
390,2022-01-19-19:20,166.06
391,2022-01-19-19:15,166.0
392,2022-01-19-19:10,165.99
393,2022-01-19-19:05,165.78
394,2022-01-19-19:00,165.46
395,2022-01-19-18:55,165.4
396,2022-01-19-18:50,165.6
397,2022-01-19-18:45,165.65
398,2022-01-19-18:40,165.6
399,2022-01-19-18:35,165.64
400,2022-01-19-18:30,165.5
401,2022-01-19-18:25,165.46
402,2022-01-19-18:20,165.65
403,2022-01-19-18:15,165.74
404,2022-01-19-18:10,165.9
405,2022-01-19-18:05,165.87
406,2022-01-19-18:00,165.7301
407,2022-01-19-17:55,165.7
408,2022-01-19-17:50,165.79
409,2022-01-19-17:45,165.61
410,2022-01-19-17:40,165.61
411,2022-01-19-17:35,165.67
412,2022-01-19-17:30,165.63
413,2022-01-19-17:25,165.65
414,2022-01-19-17:20,165.63
415,2022-01-19-17:15,165.68
416,2022-01-19-17:10,165.7
417,2022-01-19-17:05,165.7001
418,2022-01-19-17:00,165.75
419,2022-01-19-16:55,165.69
420,2022-01-19-16:50,165.65
421,2022-01-19-16:45,165.54
422,2022-01-19-16:40,165.21
423,2022-01-19-16:35,165.6
424,2022-01-19-16:30,165.85
425,2022-01-19-16:25,165.95
426,2022-01-19-16:20,166.02
427,2022-01-19-16:15,166.1
428,2022-01-19-16:10,166.17
429,2022-01-19-16:05,165.93
430,2022-01-19-16:00,166.21
431,2022-01-19-15:55,166.59
432,2022-01-19-15:50,166.87
433,2022-01-19-15:45,167.21
434,2022-01-19-15:40,167.1928
435,2022-01-19-15:35,167.35
436,2022-01-19-15:30,167.51
437,2022-01-19-15:25,167.73
438,2022-01-19-15:20,167.85
439,2022-01-19-15:15,168.1599
440,2022-01-19-15:10,167.86
441,2022-01-19-15:05,167.79
442,2022-01-19-15:00,167.95
443,2022-01-19-14:55,168.05
444,2022-01-19-14:50,167.76
445,2022-01-19-14:45,167.98
446,2022-01-19-14:40,167.6955
447,2022-01-19-14:35,167.76
448,2022-01-19-14:30,167.65
449,2022-01-19-14:25,168.094
450,2022-01-19-14:20,168.0638
451,2022-01-19-14:15,167.995
452,2022-01-19-14:10,168.13
453,2022-01-19-14:05,168.43
454,2022-01-19-14:00,168.45
455,2022-01-19-13:55,168.6199
456,2022-01-19-13:50,168.53
457,2022-01-19-13:45,168.6511
458,2022-01-19-13:40,168.7
459,2022-01-19-13:35,168.87
460,2022-01-19-13:30,168.8103
461,2022-01-19-13:25,169.185
462,2022-01-19-13:20,169.22
463,2022-01-19-13:15,169.23
464,2022-01-19-13:10,169.0
465,2022-01-19-13:05,169.1
466,2022-01-19-13:00,169.08
467,2022-01-19-12:55,168.658
468,2022-01-19-12:50,168.9689
469,2022-01-19-12:45,168.96
470,2022-01-19-12:40,168.9401
471,2022-01-19-12:35,168.96
472,2022-01-19-12:30,169.04
473,2022-01-19-12:25,169.035
474,2022-01-19-12:20,168.855
475,2022-01-19-12:15,169.08
476,2022-01-19-12:10,168.8161
477,2022-01-19-12:05,168.5609
478,2022-01-19-12:00,168.33
479,2022-01-19-11:55,168.215
480,2022-01-19-11:50,167.7649
481,2022-01-19-11:45,167.43
482,2022-01-19-11:40,167.75
483,2022-01-19-11:35,167.69
484,2022-01-19-11:30,167.78
485,2022-01-19-11:25,167.77
486,2022-01-19-11:20,168.1022
487,2022-01-19-11:15,168.2701
488,2022-01-19-11:10,168.865
489,2022-01-19-11:05,168.9389
490,2022-01-19-11:00,168.895
491,2022-01-19-10:55,168.815
492,2022-01-19-10:50,168.7
493,2022-01-19-10:45,169.13
494,2022-01-19-10:40,169.28
495,2022-01-19-10:35,169.8279
496,2022-01-19-10:30,169.87
497,2022-01-19-10:25,170.0501
498,2022-01-19-10:20,170.31
499,2022-01-19-10:15,170.9799
500,2022-01-19-10:10,170.7118
501,2022-01-19-10:05,170.77
502,2022-01-19-10:00,170.9315
503,2022-01-19-09:55,170.36
504,2022-01-19-09:50,170.29
505,2022-01-19-09:45,170.02
506,2022-01-19-09:40,170.2301
507,2022-01-19-09:35,169.4694
508,2022-01-19-09:30,169.9
509,2022-01-19-09:25,170.27
510,2022-01-19-09:20,170.42
511,2022-01-19-09:15,170.4
512,2022-01-19-09:10,170.42
513,2022-01-19-09:05,170.57
514,2022-01-19-09:00,170.72
515,2022-01-19-08:55,170.48
516,2022-01-19-08:50,170.49
517,2022-01-19-08:45,170.51
518,2022-01-19-08:40,170.65
519,2022-01-19-08:35,170.56
520,2022-01-19-08:30,170.85
521,2022-01-19-08:25,170.76
522,2022-01-19-08:20,170.65
523,2022-01-19-08:15,170.63
524,2022-01-19-08:10,170.61
525,2022-01-19-08:05,170.45
526,2022-01-19-08:00,170.24
527,2022-01-19-07:55,170.15
528,2022-01-19-07:50,170.09
529,2022-01-19-07:45,169.9
530,2022-01-19-07:40,170.03
531,2022-01-19-07:35,170.18
532,2022-01-19-07:30,170.15
533,2022-01-19-07:25,170.1
534,2022-01-19-07:20,170.08
535,2022-01-19-07:15,170.26
536,2022-01-19-07:10,170.25
537,2022-01-19-07:05,170.3
538,2022-01-19-07:00,170.25
539,2022-01-19-06:55,170.28
540,2022-01-19-06:50,170.2
541,2022-01-19-06:45,170.12
542,2022-01-19-06:35,170.09
543,2022-01-19-06:30,170.03
544,2022-01-19-06:25,170.16
545,2022-01-19-06:20,170.22
546,2022-01-19-06:15,170.4
547,2022-01-19-06:10,170.46
548,2022-01-19-06:05,170.49
549,2022-01-19-06:00,170.35
550,2022-01-19-05:55,170.18
551,2022-01-19-05:50,170.17
552,2022-01-19-05:40,170.28
553,2022-01-19-05:35,170.26
554,2022-01-19-05:25,170.27
555,2022-01-19-05:20,170.18
556,2022-01-19-05:10,170.15
557,2022-01-19-05:05,170.24
558,2022-01-19-05:00,170.1
559,2022-01-19-04:55,169.94
560,2022-01-19-04:50,169.89
561,2022-01-19-04:45,169.74
562,2022-01-19-04:40,169.59
563,2022-01-19-04:35,169.46
564,2022-01-19-04:30,169.35
565,2022-01-19-04:25,169.51
566,2022-01-19-04:20,169.64
567,2022-01-19-04:15,169.5
568,2022-01-19-04:10,169.7
569,2022-01-19-04:05,169.6
570,2022-01-18-20:00,169.3101
571,2022-01-18-19:55,169.45
